;;;vest;bo31;bo31hk;bo3_nw;doelgroep;ephh;groei_jong;groei_llvo;kernen500;lidr_w_nw;inwo;inw75+dr;wad1;wad3;wad2;jong;kernen;LOdr;ll_so;ll_vo;loonksub;nwmigr;cf.landelijk;cf.lokaal;cf.regionaal;oeverdhbftot;oeverbftot;oadw;goab;opbebnk;opbebnkbfnk;opbebk;opbebkbfk;biwa;buiwamax;histk40;histk65;histk4164;landbftot;land;WOZnwe70;WOZnwg70;WOZwe80;vast;Amsterdam;Den Haag;Rotterdam;woonr;woonrbfk
CBS;Naam;Prov;bedrijven;bewoonde oorden 1930;historische woningen in bewoonde oorden 1930;bijstandsontvangers;doelgroepenregister gemeentelijke doelgroep;éénpersoonshuishoudens;extra groei jongeren;extra groei leerlingen voortgezet onderwijs;grote woonkernen;huishoudens met een laag inkomen met drempel;inwoners;inwoners 75+ met drempel;inwoners waddengemeenten (<2500 inwoners);inwoners waddengemeenten (>7500 inwoners);inwoners waddengemeenten (2500 tot 7500 inwoners);jongeren;kernen;laag opleidingsniveau met drempel;leerlingen (voortgezet) speciaal onderwijs;leerlingen voortgezet onderwijs;loonkostensubsidie;migratieachtergrond;landelijke centrumfunctie;lokale centrumfunctie;regionale centrumfunctie;(oeverlengte+2*veen/kleiveengebied)*bf.gemeente*dh.factor;oeverlengte*bodemfactor gemeente;omgevingsadressendichtheid;onderwijsachterstand;oppervlak bebouwing buitengebied;oppervlak bebouwing buitengebied ∗ bodemfactor buitengebied;oppervlak bebouwing woonkern;oppervlak bebouwing woonkern ∗ bodemfactor woonkern;oppervlak binnenwater;oppervlak buitenwater;oppervlak historische kern < 40 ha;oppervlak historische kern > 65 ha;oppervlak historische kern 40 tot 65 ha;oppervlak land * bodemfactor gemeente;oppervlak land;ozb niet-woningen eigenaren;ozb niet-woningen gebruikers;ozb woningen eigenaren;vast bedrag;vast bedrag Amsterdam;verkiezingen Den Haag;vast bedrag Rotterdam;woonruimten;woonruimten ∗ bodemfactor woonkern
225;Druten;5;2.665,31;0,00;0,00;268,93;164,30;2.574,96;0,00;0,00;3,00;1.531,26;19.963,29;737,46;0,00;0,00;0,00;3.546,07;4,00;2.122,93;504,56;1.096,79;47,18;1.425,14;6.641,62;19.207,13;8.895,93;6.432,36;1.370,57;7.680,90;746,02;38,13;38,52;119,29;120,31;514,00;0,00;0,00;0,00;0,00;3.768,31;3.731,00;273.644.100,83;258.141.207,10;2.967.490.779,83;1,00;0,00;0,00;0,00;9.057,67;9.148,25
226;Duiven;5;3.190,05;0,00;0,00;390,62;213,59;3.183,27;0,00;0,00;1,00;2.007,89;25.213,91;893,77;0,00;0,00;0,00;4.388,92;5,00;2.143,03;0,00;1.324,79;49,33;1.950,51;14.647,97;25.232,11;17.721,11;5.975,02;841,00;12.973,78;788,53;63,22;63,22;143,55;143,35;129,00;0,00;0,00;0,00;0,00;3.390,00;3.390,00;629.129.059,21;629.129.059,21;3.587.057.146,02;1,00;0,00;0,00;0,00;11.079,24;11.079,24
228;Ede;5;18.044,07;3.234,00;0,00;1.695,92;1.067,97;18.757,06;0,00;0,00;7,00;8.459,27;125.568,14;4.000,79;0,00;0,00;0,00;26.584,34;22,00;9.094,67;2.878,71;3.730,38;210,17;12.507,74;142.163,10;128.505,82;146.085,40;6.841,87;1.755,00;91.301,30;5.303,20;310,10;310,10;622,74;621,86;51,00;0,00;0,00;0,00;0,00;31.811,00;31.811,00;2.604.486.145,42;2.442.967.624,78;20.396.142.629,81;1,00;0,00;0,00;0,00;56.708,88;56.708,88
230;Elburg;5;2.893,91;579,00;579,00;219,51;197,16;2.777,73;0,00;0,00;3,00;1.962,37;24.163,58;1.128,54;0,00;0,00;0,00;5.124,13;6,00;2.908,10;0,00;1.494,39;62,19;918,40;6.267,59;23.715,75;10.685,23;2.335,89;644,00;7.170,00;830,83;36,13;36,13;136,48;136,28;211,00;0,00;9,00;0,00;0,00;6.379,00;6.379,00;413.170.144,33;391.177.667,19;3.483.052.129,22;1,00;0,00;0,00;0,00;10.482,46;10.482,46
232;Epe;5;4.452,57;604,00;0,00;367,09;266,17;4.601,66;0,00;0,00;4,00;2.923,36;33.833,87;2.597,06;0,00;0,00;0,00;6.052,28;14,00;4.170,42;151,83;776,00;60,05;2.117,13;11.130,03;31.742,31;15.901,48;3.555,96;1.672,00;11.841,68;1.194,57;110,39;110,39;191,07;190,80;128,00;0,00;0,00;0,00;0,00;15.609,00;15.609,00;504.745.377,02;473.739.589,57;6.189.414.433,39;1,00;0,00;0,00;0,00;15.980,68;15.980,68
233;Ermelo;5;4.135,64;645,00;0,00;347,59;282,60;4.054,38;0,00;135,60;1,00;1.763,99;28.437,67;1.805,28;0,00;0,00;0,00;5.260,20;9,00;2.456,42;1.211,67;2.267,99;75,06;1.717,23;18.085,03;28.426,55;21.977,00;959,93;298,00;15.026,05;691,33;35,12;35,12;203,20;202,91;172,00;0,00;0,00;0,00;0,00;8.561,00;8.561,00;591.994.220,76;505.466.441,84;4.862.346.128,87;1,00;0,00;0,00;0,00;15.684,81;15.684,81
243;Harderwijk;5;6.967,20;1.443,00;1.443,00;804,09;394,33;7.375,45;0,00;0,00;1,00;3.917,21;50.587,54;1.654,86;0,00;0,00;0,00;10.135,54;2,00;4.387,77;1.599,34;3.035,99;119,03;6.354,34;50.181,16;53.254,30;54.143,89;7.785,69;751,00;36.836,71;2.651,08;29,10;29,10;274,98;274,59;936,00;0,00;19,00;0,00;0,00;3.891,00;3.891,00;943.152.790,20;919.718.183,41;7.959.731.586,34;1,00;0,00;0,00;0,00;22.696,68;22.696,68
244;Hattem;5;1.615,81;652,00;652,00;114,63;75,58;1.573,92;0,00;0,00;1,00;938,21;12.883,94;750,04;0,00;0,00;0,00;2.690,02;1,00;756,86;0,00;0,00;13,94;577,31;3.568,48;11.635,48;4.882,66;3.303,67;626,00;4.859,72;200,56;12,04;12,04;69,75;69,66;106,00;0,00;7,00;0,00;0,00;2.309,00;2.309,00;130.152.200,79;122.941.552,55;2.204.192.158,67;1,00;0,00;0,00;0,00;5.764,80;5.764,80
246;Heerde;5;2.322,40;0,00;0,00;163,71;122,68;2.218,64;0,00;0,00;2,00;1.563,51;19.515,46;1.294,68;0,00;0,00;0,00;3.695,34;8,00;2.332,08;111,42;731,20;34,31;695,91;4.346,88;18.085,03;6.853,91;3.631,99;1.513,00;5.469,75;583,34;48,17;48,17;111,20;111,05;189,00;0,00;0,00;0,00;0,00;7.853,00;7.853,00;208.748.266,64;184.592.595,02;3.263.882.759,05;1,00;0,00;0,00;0,00;8.600,24;8.600,24
252;Heumen;5;2.322,40;0,00;0,00;233,63;93,11;2.404,68;0,00;0,00;2,00;1.039,62;17.044,81;1.152,83;0,00;0,00;0,00;3.041,37;6,00;970,02;0,00;0,00;25,74;1.061,51;3.042,81;13.505,65;3.578,59;2.772,28;683,00;6.391,06;294,85;31,11;31,11;96,04;95,90;184,00;0,00;0,00;0,00;0,00;3.970,00;3.970,00;183.510.997,79;173.776.622,66;2.993.826.814,13;1,00;0,00;0,00;0,00;7.861,09;7.861,09
1705;Lingewaard;5;5.777,43;0,00;0,00;464,57;295,75;5.855,67;0,00;0,00;4,00;3.556,99;48.203,84;2.437,10;0,00;0,00;0,00;8.988,04;7,00;4.451,98;547,93;1.554,39;85,79;2.426,86;13.242,81;41.477,30;15.790,28;15.185,22;2.189,68;20.598,61;852,05;55,20;55,75;260,82;260,45;746,00;0,00;5,00;0,00;0,00;6.229,68;6.168,00;553.056.720,25;533.948.502,40;7.514.697.244,06;1,00;0,00;0,00;0,00;20.848,79;20.848,79
262;Lochem;5;5.496,87;1.361,00;1.361,00;395,66;234,41;4.779,82;0,00;0,00;5,00;2.303,59;34.690,10;3.186,91;0,00;0,00;0,00;5.746,62;18,00;2.350,53;540,69;761,60;55,76;1.926,98;10.280,87;29.659,85;14.405,35;4.489,34;2.825,00;10.527,94;547,48;189,67;189,67;196,12;195,85;303,00;0,00;7,00;0,00;0,00;21.291,00;21.291,00;548.009.266,48;460.399.890,32;6.584.454.947,85;1,00;0,00;0,00;0,00;17.488,27;17.488,27
263;Maasdriel;5;4.629,22;0,00;0,00;204,38;182,92;3.573,05;0,00;0,00;5,00;2.044,38;26.575,59;853,68;0,00;0,00;0,00;4.796,13;14,00;3.680,48;0,00;0,00;55,76;1.136,98;1.900,50;21.299,70;2.699,11;8.325,66;2.303,70;5.394,47;802,93;103,37;107,50;183,99;194,75;965,00;0,00;0,00;0,00;0,00;6.910,05;6.581,00;432.999.427,00;350.798.037,03;4.155.736.937,46;1,00;0,00;0,00;0,00;10.854,06;11.505,30
1955;Montferland;5;4.551,28;620,00;620,00;375,15;458,95;4.992,43;0,00;0,00;5,00;3.541,98;37.399,32;2.326,89;0,00;0,00;0,00;6.157,89;11,00;5.143,75;1.427,60;385,60;95,44;1.945,61;13.626,95;35.149,05;19.844,00;2.012,16;580,00;13.147,01;1.442,54;119,42;119,42;248,69;248,34;96,00;0,00;6,00;0,00;0,00;10.568,00;10.568,00;481.671.302,64;453.549.774,49;4.700.758.935,38;1,00;0,00;0,00;0,00;16.855,14;16.855,14
1740;Neder-Betuwe;5;3.688,82;0,00;0,00;243,38;203,74;2.626,15;0,00;0,00;4,00;2.162,54;26.062,06;531,98;0,00;0,00;0,00;6.570,18;11,00;3.329,91;244,49;1.089,59;26,81;949,77;2.183,55;21.683,84;3.315,76;7.737,28;1.979,12;4.536,71;1.630,38;81,29;84,54;149,62;156,88;758,00;0,00;0,00;0,00;0,00;6.228,56;5.989,00;390.096.069,95;372.069.449,35;3.280.844.950,63;1,00;0,00;0,00;0,00;9.693,83;10.178,52
267;Nijkerk;5;7.065,92;1.146,00;1.146,00;437,34;331,89;5.568,26;0,00;0,00;2,00;2.965,24;46.218,42;1.702,69;0,00;0,00;0,00;9.793,32;8,00;4.321,59;775,94;2.087,99;92,22;3.632,45;24.797,42;44.125,86;25.858,86;9.221,43;1.453,00;21.936,72;1.414,93;73,26;73,26;287,11;286,70;271,00;0,00;14,00;0,00;0,00;6.933,00;6.933,00;952.526.632,92;925.847.234,42;8.055.255.507,35;1,00;0,00;0,00;0,00;18.992,83;18.992,83
268;Nijmegen;5;25.676,30;16.196,00;14.335,00;6.767,22;2.048,31;56.993,66;0,00;0,00;1,00;19.684,50;191.067,49;2.739,28;0,00;0,00;0,00;30.106,04;3,00;7.768,04;5.415,44;10.756,75;405,33;29.608,48;362.519,45;218.829,88;381.797,34;58.115,63;1.770,00;229.518,93;9.811,21;37,13;37,50;755,17;754,10;517,00;0,00;20,00;0,00;0,00;5.246,00;5.246,00;3.838.228.059,82;3.757.468.799,50;30.464.542.453,80;1,00;0,00;0,00;0,00;93.566,62;93.566,62
302;Nunspeet;5;4.094,08;579,00;0,00;295,15;256,31;3.380,13;0,00;35,90;3,00;2.176,85;29.713,43;1.306,78;0,00;0,00;0,00;6.667,66;13,00;3.250,66;1.063,68;390,40;85,79;1.243,82;14.749,06;29.538,55;20.167,49;932,64;411,00;11.436,81;894,64;46,16;46,16;177,93;177,67;80,00;0,00;0,00;0,00;0,00;12.873,00;12.873,00;470.134.265,45;437.686.348,36;5.072.141.656,33;1,00;0,00;0,00;0,00;13.846,01;13.846,01
269;Oldebroek;5;3.101,73;0,00;0,00;273,63;196,07;2.514,92;0,00;0,00;4,00;1.987,99;24.683,19;826,13;0,00;0,00;0,00;5.330,27;12,00;3.785,10;0,00;204,80;66,48;840,97;6.217,05;21.643,40;9.017,24;2.401,43;972,00;6.763,94;809,59;64,23;64,23;148,61;148,40;111,00;0,00;0,00;0,00;0,00;9.772,00;9.772,00;366.661.463,16;343.226.856,37;3.434.397.421,79;1,00;0,00;0,00;0,00;10.358,26;10.358,26
1586;Oost Gelre;5;3.953,80;718,00;718,00;283,05;237,69;3.969,73;0,00;0,00;3,00;2.299,85;30.375,57;1.666,88;0,00;0,00;0,00;5.401,36;10,00;2.523,08;931,76;1.130,39;73,99;1.103,65;13.495,54;30.134,98;20.319,12;3.507,05;1.289,00;10.816,63;339,80;137,49;137,49;210,28;209,98;61,00;0,00;9,00;0,00;0,00;10.983,00;10.983,00;668.066.559,73;612.184.035,84;3.931.657.459,20;1,00;0,00;0,00;0,00;14.326,67;14.326,67
1509;Oude IJsselstreek;5;4.946,14;518,00;0,00;638,03;392,14;5.602,71;0,00;0,00;3,00;4.182,65;39.929,61;2.535,31;0,00;0,00;0,00;6.567,13;12,00;5.319,13;0,00;1.258,39;111,52;2.811,08;19.328,44;39.849,74;27.456,09;4.584,12;1.601,00;12.072,75;1.774,90;160,57;160,57;255,77;255,41;205,00;0,00;0,00;0,00;0,00;13.590,00;13.590,00;726.833.342,91;666.263.897,67;5.309.165.965,00;1,00;0,00;0,00;0,00;18.292,05;18.292,05
1734;Overbetuwe;5;7.294,52;676,00;0,00;566,76;362,56;5.783,82;0,00;391,60;6,00;3.339,96;49.478,58;2.062,58;0,00;0,00;0,00;9.989,31;13,00;3.616,46;497,90;2.587,19;83,64;3.027,69;12.889,00;40.264,21;15.396,03;12.847,20;3.010,81;17.124,11;696,84;121,43;122,64;291,15;293,65;631,00;0,00;0,00;0,00;0,00;10.986,78;10.878,00;1.141.445.616,89;1.092.052.676,42;7.675.391.690,62;1,00;0,00;0,00;0,00;21.062,87;21.273,49
273;Putten;5;3.917,43;704,00;0,00;178,84;194,97;2.868,29;0,00;0,00;1,00;1.621,15;25.225,03;1.309,26;0,00;0,00;0,00;5.215,52;8,00;3.352,16;0,00;362,40;71,85;1.117,38;13.475,32;25.414,07;17.165,11;1.816,58;637,00;11.083,50;668,82;93,33;93,33;141,53;141,33;233,00;0,00;0,00;0,00;0,00;8.517,00;8.517,00;359.811.347,33;331.689.819,18;4.876.183.706,21;1,00;0,00;0,00;0,00;12.126,37;12.126,37
274;Renkum;5;4.717,54;4.064,00;0,00;581,22;266,17;5.808,43;0,00;0,00;3,00;2.328,97;31.833,29;3.071,83;0,00;0,00;0,00;5.122,10;5,00;1.738,20;1.584,22;819,20;49,33;2.197,50;8.946,48;27.415,65;10.968,28;2.713,62;407,00;14.956,72;678,49;22,08;22,08;158,72;158,49;129,00;0,00;0,00;0,00;0,00;4.594,00;4.594,00;295.636.577,97;282.657.411,13;5.930.964.198,50;1,00;0,00;0,00;0,00;15.945,33;15.945,33
275;Rheden;5;5.720,28;5.119,00;0,00;903,93;525,77;8.962,16;0,00;0,00;4,00;4.596,41;44.259,30;3.681,61;0,00;0,00;0,00;7.285,08;8,00;4.247,23;324,77;1.302,39;92,22;3.987,27;13.707,83;41.244,79;17.882,85;6.072,90;1.168,00;32.770,88;2.161,71;22,08;22,08;228,47;228,15;282,00;0,00;0,00;0,00;0,00;8.153,00;8.153,00;465.807.876,51;456.434.033,79;7.035.738.518,61;1,00;0,00;0,00;0,00;22.157,46;22.157,46
277;Rozendaal;5;322,12;0,00;0,00;5,71;2,19;178,16;41,74;0,00;1,00;29,22;1.856,02;94,84;0,00;0,00;0,00;420,41;1,00;0,00;0,00;682,40;0,00;123,50;30,33;758,18;30,33;21,04;32,00;692,39;0,00;1,00;1,00;11,12;11,10;1,00;0,00;0,00;0,00;0,00;2.791,00;2.791,00;16.584.490,96;16.584.490,96;499.491.904,73;1,00;0,00;0,00;0,00;725,02;725,02
279;Scherpenzeel;5;1.496,31;0,00;0,00;67,23;81,06;1.277,64;0,00;0,00;1,00;660,30;10.653,89;454,03;0,00;0,00;0,00;2.454,42;2,00;1.186,88;0,00;0,00;19,30;421,47;1.667,99;9.482,26;2.314,96;1.372,66;180,00;4.197,05;292,28;25,09;25,09;53,58;53,50;3,00;0,00;0,00;0,00;0,00;1.379,00;1.379,00;127.267.941,49;116.812.501,54;1.699.790.145,85;1,00;0,00;0,00;0,00;4.446,03;4.446,03
281;Tiel;5;5.387,76;2.802,00;2.802,00;963,77;628,73;7.165,79;0,00;0,00;2,00;4.320,30;43.039,14;1.463,83;0,00;0,00;0,00;7.714,63;3,00;5.584,99;2.453,51;1.605,59;180,15;7.413,88;37.686,41;48.048,16;43.539,53;16.880,41;1.291,68;28.423,94;3.713,04;82,29;89,70;230,49;248,58;269,00;0,00;14,00;0,00;0,00;3.545,64;3.283,00;904.215.289,69;867.440.983,65;5.922.929.476,18;1,00;0,00;0,00;0,00;19.166,51;20.699,83
285;Voorst;5;3.761,56;674,00;0,00;262,20;179,64;3.074,99;0,00;30,70;3,00;1.759,70;25.845,72;1.572,76;0,00;0,00;0,00;5.028,67;17,00;2.082,04;1.155,96;300,00;43,96;1.122,28;5.721,70;19.106,04;7.076,31;4.880,11;2.414,00;6.982,37;166,96;123,44;123,44;144,56;144,36;354,00;0,00;0,00;0,00;0,00;12.293,00;12.293,00;489.603.015,71;425.788.778,76;4.378.923.668,80;1,00;0,00;0,00;0,00;11.715,39;11.715,39
289;Wageningen;5;4.837,04;2.670,00;2.670,00;630,97;355,99;15.755,89;0,00;0,00;1,00;3.033,19;43.256,48;919,71;0,00;0,00;0,00;6.021,82;2,00;2.304,26;398,50;1.579,19;90,07;6.708,17;38.646,77;45.894,94;42.882,45;11.676,01;883,00;46.810,79;1.278,68;20,07;20,07;147,60;147,39;198,00;0,00;9,00;0,00;0,00;3.038,00;3.038,00;814.803.251,47;803.987.279,11;6.060.858.876,14;1,00;0,00;0,00;0,00;21.571,79;21.571,79
1960;West Betuwe;5;8.754,46;0,00;0,00;400,37;312,18;6.036,79;0,00;0,00;10,00;3.148,31;53.833,55;2.001,16;0,00;0,00;0,00;10.697,10;25,00;6.377,67;0,00;1.062,40;117,95;2.763,05;11.514,17;47.906,63;16.073,34;25.833,00;7.970,62;10.570,99;1.764,59;206,73;248,08;328,56;377,30;1.376,00;0,00;12,00;0,00;0,00;25.627,84;21.536,00;1.105.752.908,09;995.069.457,55;8.649.378.586,17;1,00;0,00;0,00;0,00;22.115,05;25.432,31
668;West Maas en Waal;5;3.293,96;836,00;0,00;173,46;124,87;2.624,18;0,00;0,00;5,00;1.634,96;20.818,51;876,09;0,00;0,00;0,00;3.705,50;13,00;2.206,28;80,08;142,40;40,75;878,22;2.294,75;18.014,27;3.416,85;5.940,74;2.411,85;4.031,16;429,16;71,25;74,81;159,73;169,07;932,00;0,00;0,00;0,00;0,00;7.968,45;7.589,00;330.247.689,54;279.773.151,83;3.358.513.933,13;1,00;0,00;0,00;0,00;9.120,27;9.667,49
293;Westervoort;5;1.615,81;0,00;0,00;306,24;179,64;2.074,93;0,00;0,00;1,00;1.516,95;15.370,76;478,86;0,00;0,00;0,00;2.845,38;1,00;1.736,74;0,00;0,00;46,11;1.778,98;4.478,29;13.778,59;5.428,54;8.324,93;429,25;8.104,80;908,71;2,01;2,07;66,72;67,29;81,00;0,00;0,00;0,00;0,00;710,03;703,00;85.446.181,68;84.004.052,03;2.031.445.628,61;1,00;0,00;0,00;0,00;6.933,10;7.002,44
296;Wijchen;5;5.585,19;0,00;0,00;688,79;297,94;5.737,56;0,00;0,00;2,00;3.347,14;42.292,08;2.120,97;0,00;0,00;0,00;7.467,86;7,00;3.685,65;432,37;1.542,39;62,19;2.625,83;30.792,06;42.195,04;34.350,44;9.323,05;1.548,33;24.054,23;957,79;75,27;76,02;271,94;271,56;359,00;0,00;5,00;0,00;0,00;6.663,98;6.598,00;795.695.033,63;772.260.426,84;6.566.600.009,35;1,00;0,00;0,00;0,00;19.136,22;19.136,22
294;Winterswijk;5;3.761,56;2.524,00;0,00;559,37;288,08;4.524,88;0,00;0,00;1,00;2.885,17;29.550,68;1.858,92;0,00;0,00;0,00;5.026,64;11,00;3.910,52;645,56;968,00;72,92;2.229,85;25.525,27;30.044,00;30.003,56;2.880,66;1.368,00;17.783,25;1.505,59;127,45;127,45;178,94;178,68;73,00;0,00;0,00;0,00;0,00;13.809,00;13.809,00;564.593.757,44;498.616.326,01;3.781.229.602,28;1,00;0,00;0,00;0,00;14.493,28;14.493,28
297;Zaltbommel;5;4.873,41;906,00;906,00;282,04;263,98;4.127,22;0,00;198,30;7,00;2.279,41;30.743,54;956,56;0,00;0,00;0,00;6.502,14;13,00;3.004,82;731,04;1.731,19;73,99;2.119,09;4.680,47;27.233,69;6.712,39;19.488,07;4.114,26;9.254,13;1.152,05;85,30;97,24;196,12;223,26;1.070,00;0,00;21,00;0,00;0,00;8.930,76;7.834,00;687.535.309,98;664.461.235,61;4.427.578.376,23;1,00;0,00;0,00;0,00;12.729,20;14.511,29
299;Zevenaar;5;5.434,52;0,00;0,00;749,30;481,96;6.953,18;0,00;0,00;6,00;4.704,15;45.707,92;2.872,00;0,00;0,00;0,00;7.823,28;14,00;6.049,55;378,57;1.426,39;124,39;2.911,06;22.907,03;42.831,90;28.295,14;14.850,09;3.477,00;22.328,56;2.021,14;110,39;110,39;246,67;246,32;1.400,00;0,00;6,00;0,00;0,00;9.211,00;9.211,00;819.129.640,42;798.218.760,52;6.176.915.976,44;1,00;0,00;0,00;0,00;21.346,61;21.346,61
301;Zutphen;5;6.681,45;4.318,00;4.318,00;1.327,83;799,61;9.252,54;0,00;0,00;1,00;5.204,56;49.562,49;2.821,63;0,00;0,00;0,00;8.476,24;1,00;4.193,94;1.495,57;3.821,58;168,35;5.130,12;55.124,47;55.265,99;61.402,17;15.885,85;1.391,00;41.371,20;2.432,35;45,16;45,16;238,58;238,24;204,00;0,00;28,00;0,00;0,00;4.089,00;4.089,00;743.057.301,46;703.398.736,12;7.128.584.198,85;1,00;0,00;0,00;0,00;24.552,64;24.552,64
307;Amersfoort;6;25.847,75;8.558,00;8.558,00;3.390,84;1.629,89;27.543,03;0,00;0,00;1,00;11.162,91;165.078,22;2.410,41;0,00;0,00;0,00;33.994,32;3,00;5.895,05;5.611,39;11.633,55;227,33;29.298,75;254.908,96;180.223,55;241.271,90;66.101,68;2.585,00;180.166,10;7.562,88;39,14;39,14;663,18;662,24;138,00;0,00;40,00;0,00;0,00;6.248,00;6.248,00;3.012.969.368,40;2.924.278.395,01;29.007.579.471,65;1,00;0,00;0,00;0,00;73.778,09;73.778,09
308;Baarn;6;4.520,11;2.959,00;0,00;353,64;173,07;4.377,24;0,00;11,10;1,00;1.623,99;25.458,55;1.866,02;0,00;0,00;0,00;4.814,41;5,00;1.904,70;0,00;1.248,79;30,02;2.461,17;9.118,33;23.463,03;9.462,04;5.401,48;624,00;21.435,63;631,69;15,05;15,05;114,24;114,07;48,00;0,00;0,00;0,00;0,00;3.253,00;3.253,00;303.928.823,45;296.357.642,79;5.530.567.202,49;1,00;0,00;0,00;0,00;13.070,51;13.070,51
312;Bunnik;6;2.654,91;0,00;0,00;132,78;58,05;2.279,67;0,00;0,00;3,00;525,24;16.456,47;898,71;0,00;0,00;0,00;3.524,74;3,00;109,41;0,00;0,00;19,30;1.200,69;727,85;9.916,95;717,74;4.154,46;940,44;4.947,02;0,00;33,12;34,11;85,93;86,67;68,00;0,00;0,00;0,00;0,00;3.762,78;3.689,00;274.365.165,65;261.385.998,81;3.343.783.608,87;1,00;0,00;0,00;0,00;7.027,01;7.097,28
313;Bunschoten;6;3.319,94;717,00;0,00;176,48;140,21;2.387,94;0,00;0,00;1,00;1.303,61;22.931,29;564,84;0,00;0,00;0,00;5.126,16;2,00;3.134,42;0,00;327,20;32,17;1.513,36;8.036,67;21.228,94;8.491,57;8.000,51;1.048,56;11.328,66;1.188,03;22,08;22,74;133,44;133,26;443,00;0,00;0,00;0,00;0,00;3.099,78;3.039,00;478.787.043,34;453.549.774,49;3.689.723.042,44;1,00;0,00;0,00;0,00;9.225,29;9.225,29
310;De Bilt;6;7.647,82;2.889,00;0,00;558,36;201,55;7.204,18;0,00;0,00;4,00;2.545,89;44.269,41;3.151,22;0,00;0,00;0,00;9.339,40;12,00;1.494,01;1.295,23;2.059,99;54,69;4.644,95;14.809,71;36.574,42;14.749,06;14.182,01;2.174,00;26.941,86;690,65;35,12;35,12;213,31;213,01;121,00;0,00;0,00;0,00;0,00;6.592,00;6.592,00;607.497.114,48;581.538.780,81;10.703.589.261,38;1,00;0,00;0,00;0,00;20.852,83;20.852,83
736;De Ronde Venen;6;8.385,58;0,00;0,00;421,88;200,45;6.289,76;0,00;0,00;5,00;2.609,16;46.421,62;2.299,52;0,00;0,00;0,00;8.888,53;23,00;3.003,94;0,00;996,80;39,68;4.780,21;7.339,15;38.788,30;6.894,35;173.383,18;17.583,75;18.478,84;1.244,31;71,25;96,19;247,68;328,95;1.736,00;0,00;0,00;0,00;0,00;13.448,70;9.962,00;847.611.700,98;780.552.672,32;9.711.301.053,86;1,00;0,00;0,00;0,00;20.328,76;27.037,25
317;Eemnes;6;1.860,00;0,00;0,00;86,06;41,62;1.326,85;0,00;0,00;1,00;486,15;10.035,22;479,56;0,00;0,00;0,00;1.941,60;3,00;182,80;0,00;0,00;7,51;854,69;1.021,01;8.137,76;1.041,23;3.437,60;820,91;4.516,48;99,34;12,04;12,40;49,54;49,96;267,00;0,00;0,00;0,00;0,00;3.196,09;3.103,00;159.355.326,17;150.702.548,28;2.141.699.873,89;1,00;0,00;0,00;0,00;4.440,98;4.485,39
321;Houten;6;7.429,61;0,00;0,00;538,53;271,65;6.163,76;0,00;0,00;2,00;2.273,87;51.500,39;635,41;0,00;0,00;0,00;10.939,80;9,00;1.801,15;1.386,10;1.527,19;53,62;5.359,48;36.574,42;50.383,34;36.715,95;41.870,76;3.037,80;35.217,59;500,66;45,16;56,45;226,45;262,31;408,00;0,00;0,00;0,00;0,00;6.699,02;5.491,00;876.093.761,54;860.590.867,82;9.999.211.937,28;1,00;0,00;0,00;0,00;21.915,11;25.421,53
353;IJsselstein;6;4.618,82;703,00;703,00;493,15;209,21;4.657,77;0,00;0,00;1,00;2.137,02;33.702,45;1.265,72;0,00;0,00;0,00;6.396,53;2,00;2.543,47;597,74;652,00;51,47;4.998,78;15.315,16;32.227,55;14.981,56;24.970,57;1.104,01;27.968,18;1.139,02;19,07;20,97;134,46;157,09;77,00;0,00;10,00;0,00;0,00;2.362,83;2.091,00;369.545.722,46;360.171.879,74;5.880.970.370,68;1,00;0,00;0,00;0,00;14.790,15;17.304,48
327;Leusden;6;4.769,49;0,00;0,00;322,38;234,41;4.466,81;0,00;0,00;2,00;1.640,79;32.258,88;1.723,90;0,00;0,00;0,00;6.341,69;4,00;935,86;0,00;0,00;26,81;2.312,18;14.253,71;29.841,82;14.961,34;5.195,70;959,00;18.426,42;442,60;46,16;46,16;136,48;136,28;38,00;0,00;0,00;0,00;0,00;5.852,00;5.852,00;472.297.459,93;452.828.709,67;5.987.653.628,26;1,00;0,00;0,00;0,00;14.033,83;14.033,83
331;Lopik;6;2.327,60;0,00;0,00;137,15;98,58;1.609,35;0,00;0,00;2,00;799,31;14.961,34;350,08;0,00;0,00;0,00;2.947,95;14,00;2.030,02;0,00;0,00;25,74;949,77;515,56;10.280,87;495,34;23.296,04;6.039,10;2.289,88;592,22;45,16;59,61;108,17;137,18;328,00;0,00;0,00;0,00;0,00;9.916,70;7.570,00;247.685.767,15;215.958.914,88;2.457.285.912,00;1,00;0,00;0,00;0,00;6.155,58;7.817,59
335;Montfoort;6;2.109,38;0,00;0,00;95,13;63,53;1.696,95;0,00;0,00;2,00;717,04;13.922,14;700,86;0,00;0,00;0,00;2.772,27;4,00;1.261,73;0,00;0,00;20,37;884,10;849,16;10.584,14;798,61;8.963,34;1.452,04;4.484,31;458,50;33,12;41,73;81,89;93,22;61,00;0,00;10,00;0,00;0,00;4.661,16;3.759,00;223.169.563,13;205.503.474,93;2.420.236.914,60;1,00;0,00;0,00;0,00;5.908,18;6.735,33
