;;;vest;bo31;bo31hk;bo3_nw;doelgroep;ephh;groei_jong;groei_llvo;kernen500;lidr_w_nw;inwo;inw75+dr;wad1;wad3;wad2;jong;kernen;LOdr;ll_so;ll_vo;loonksub;nwmigr;cf.landelijk;cf.lokaal;cf.regionaal;oeverdhbftot;oeverbftot;oadw;goab;opbebnk;opbebnkbfnk;opbebk;opbebkbfk;biwa;buiwamax;histk40;histk65;histk4164;landbftot;land;WOZnwe70;WOZnwg70;WOZwe80;vast;Amsterdam;Den Haag;Rotterdam;woonr;woonrbfk
CBS;Naam;Prov;bedrijven;bewoonde oorden 1930;historische woningen in bewoonde oorden 1930;bijstandsontvangers;doelgroepenregister gemeentelijke doelgroep;éénpersoonshuishoudens;extra groei jongeren;extra groei leerlingen voortgezet onderwijs;grote woonkernen;huishoudens met een laag inkomen met drempel;inwoners;inwoners 75+ met drempel;inwoners waddengemeenten (<2500 inwoners);inwoners waddengemeenten (>7500 inwoners);inwoners waddengemeenten (2500 tot 7500 inwoners);jongeren;kernen;laag opleidingsniveau met drempel;leerlingen (voortgezet) speciaal onderwijs;leerlingen voortgezet onderwijs;loonkostensubsidie;migratieachtergrond;landelijke centrumfunctie;lokale centrumfunctie;regionale centrumfunctie;(oeverlengte+2*veen/kleiveengebied)*bf.gemeente*dh.factor;oeverlengte*bodemfactor gemeente;omgevingsadressendichtheid;onderwijsachterstand;oppervlak bebouwing buitengebied;oppervlak bebouwing buitengebied ∗ bodemfactor buitengebied;oppervlak bebouwing woonkern;oppervlak bebouwing woonkern ∗ bodemfactor woonkern;oppervlak binnenwater;oppervlak buitenwater;oppervlak historische kern < 40 ha;oppervlak historische kern > 65 ha;oppervlak historische kern 40 tot 65 ha;oppervlak land * bodemfactor gemeente;oppervlak land;ozb niet-woningen eigenaren;ozb niet-woningen gebruikers;ozb woningen eigenaren;vast bedrag;vast bedrag Amsterdam;verkiezingen Den Haag;vast bedrag Rotterdam;woonruimten;woonruimten ∗ bodemfactor woonkern
86;Opsterland;2;4.088,88;652,00;0,00;456,17;267,27;4.019,93;0,00;0,00;5,00;2.626,61;30.339,18;1.562,74;0,00;0,00;0,00;5.653,20;23,00;3.102,41;752,07;341,60;76,13;1.012,50;5.640,83;26.819,22;9.573,24;7.909,07;5.999,00;5.996,69;689,19;151,54;151,54;175,90;175,65;326,00;0,00;0,00;0,00;0,00;22.438,00;22.438,00;394.422.458,90;356.927.088,04;3.918.266.255,32;1,00;0,00;0,00;0,00;13.978,29;13.978,29
88;Schiermonnikoog;2;207,82;0,00;0,00;6,72;5,48;334,67;0,00;0,00;1,00;61,77;981,59;100,93;981,59;0,00;0,00;104,59;1,00;22,35;0,00;17,60;1,07;34,31;10,11;980,57;40,44;84,73;357,00;457,57;0,00;3,01;3,01;12,13;12,11;43,00;10.000,00;0,00;0,00;0,00;4.048,00;4.048,00;24.155.671,61;24.155.671,61;497.260.037,42;1,00;0,00;0,00;0,00;1.403,59;1.403,59
90;Smallingerland;2;6.665,86;1.709,00;0,00;1.629,36;968,29;9.756,51;0,00;0,00;4,00;6.132,55;57.706,31;3.073,23;0,00;0,00;0,00;11.094,16;10,00;5.915,94;4.025,70;3.641,58;172,64;4.673,37;65.071,74;62.665,79;77.536,16;25.266,61;5.585,00;36.769,01;2.729,17;87,31;87,31;366,97;366,45;926,00;0,00;0,00;0,00;0,00;11.692,00;11.692,00;1.132.071.774,17;1.072.223.393,75;6.865.223.855,87;1,00;0,00;0,00;0,00;27.155,84;27.155,84
1900;Súdwest-Fryslân;2;13.258,99;6.774,00;6.250,00;1.963,51;694,45;15.042,26;0,00;0,00;12,00;9.029,09;91.520,97;5.617,77;0,00;0,00;0,00;17.074,34;65,00;8.956,08;2.825,46;3.902,38;223,04;4.716,50;54.073,13;91.233,88;81.013,66;36.679,64;22.206,96;38.829,92;2.789,95;307,09;334,72;613,64;649,54;5.325,00;10.000,00;80,00;0,00;0,00;56.451,60;52.270,00;1.919.114.029,91;1.756.513.912,03;12.188.673.771,68;1,00;0,00;0,00;0,00;45.362,06;48.083,78
93;Terschelling;2;1.085,87;513,00;0,00;17,48;12,05;1.267,79;0,00;0,00;2,00;299,94;4.976,67;352,79;2.527,25;0,00;2.449,41;719,98;6,00;573,58;0,00;77,60;5,36;112,72;323,49;4.983,75;4.640,04;439,17;777,00;1.117,66;3,18;6,02;6,02;45,49;45,43;187,00;10.000,00;0,00;0,00;0,00;8.523,00;8.523,00;124.023.149,78;124.023.149,78;1.611.408.200,24;1,00;0,00;0,00;0,00;4.170,36;4.170,36
737;Tytsjerksteradiel;2;3.948,60;846,00;0,00;562,39;283,70;4.479,61;0,00;0,00;7,00;2.805,35;33.178,80;2.136,36;0,00;0,00;0,00;6.420,90;25,00;3.042,98;0,00;1.000,00;102,94;1.434,95;8.713,97;29.740,73;12.514,96;12.314,23;6.040,00;7.667,97;1.816,97;95,34;95,34;203,20;202,91;1.289,00;0,00;0,00;0,00;0,00;14.852,00;14.852,00;411.728.014,68;352.961.231,50;4.102.618.495,41;1,00;0,00;0,00;0,00;15.274,84;15.274,84
96;Vlieland;2;332,51;0,00;0,00;5,38;8,76;416,36;0,00;0,00;1,00;182,78;1.230,27;50,58;1.230,27;0,00;0,00;120,84;2,00;115,46;0,00;13,60;1,07;35,29;20,22;1.223,19;950,25;122,42;400,97;272,41;4,30;1,00;1,01;12,13;12,11;69,00;10.000,00;0,00;0,00;0,00;3.956,17;3.917,00;30.645.255,03;30.645.255,03;556.627.707,95;1,00;0,00;0,00;0,00;1.210,72;1.210,72
1949;Waadhoeke;2;6.068,38;2.975,00;1.787,00;916,37;352,70;7.198,28;0,00;0,00;11,00;4.821,81;47.367,82;2.505,89;0,00;0,00;0,00;8.672,23;34,00;5.235,39;300,86;1.415,19;86,86;2.100,47;11.200,79;41.699,69;19.763,13;13.092,95;7.895,88;10.663,57;1.923,01;178,63;192,92;313,39;331,73;407,00;2.644,00;22,00;0,00;0,00;30.813,48;28.531,00;579.015.053,92;486.718.756,41;4.942.693.352,15;1,00;0,00;0,00;0,00;22.169,58;23.499,75
98;Weststellingwerf;2;3.688,82;1.042,00;0,00;413,14;261,79;3.954,97;0,00;0,00;2,00;2.870,51;26.885,94;1.790,92;0,00;0,00;0,00;4.814,41;20,00;3.387,01;87,67;834,40;96,51;1.213,43;12.444,20;26.778,79;19.581,17;8.879,30;7.627,00;8.731,70;795,82;156,55;156,55;163,77;163,54;838,00;0,00;0,00;0,00;0,00;22.007,00;22.007,00;372.069.449,35;354.763.893,56;3.299.146.262,60;1,00;0,00;0,00;0,00;12.563,60;12.563,60
1680;Aa en Hunze;3;3.444,64;0,00;0,00;316,33;175,26;3.353,55;0,00;0,00;5,00;1.772,41;26.217,73;1.996,08;0,00;0,00;0,00;4.367,59;33,00;1.831,41;0,00;268,80;49,33;839,01;2.446,38;21.259,26;3.730,23;3.149,92;3.387,00;3.845,39;266,90;106,38;106,38;182,98;182,72;286,00;0,00;0,00;0,00;0,00;27.601,00;27.601,00;341.784.726,72;287.344.332,49;3.892.822.967,95;1,00;0,00;0,00;0,00;13.492,59;13.492,59
